FID,ID,FIELD,OID_1,YLD00,YLD01,YLD02,YLD03,AVGYLD,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI00_520,VI00_528,VI00_613,VI00_707,VI00_715,VI00_723,VI00_816,VI00_824,VI00_901,VI00_917,VI01_616,VI01_624,VI01_710,VI01_827,VI01_912,VI02_518,VI02_526,VI02_619,VI02_713,VI02_721,VI02_830,VI02_907,VI02_923,VI03_505,VI03_529,VI03_606,VI03_622,VI03_724,VI03_825,VI03_926,STD00,STD01,STD02,STD03,CV,M3_00,M3_01,M3_02,M3_03,M3_AV,CL_AV,CL_00,CL_01,CL_02,CL_03
0,3018,C29,3017,1012.7999878,1201.9000244,943.5999756,1082,1060.0999756,1080.059999999999900,0.0879000,0.002694000000000,-0.001178000000000,0.001515000000000,14.3999996,38.7000008,96,84,123,82,-0.2174000,-0.1848000,-0.1341000,0.1712000,0.2242000,0.3089000,0.1748000,0.2216000,0.1667000,-0.0435000,-0.1963000,-0.1837000,-0.0185000,0.4490000,0.1856000,-0.194690265000000,-0.211382114000000,-0.210084034000000,-0.081545064000000,0.040462428000000,0.359116022000000,0.273809524000000,0.026178010000000,-0.042553191000000,-0.215094340000000,-0.157303371000000,-0.136363636000000,-0.021505376000000,0.128571429000000,0.085365854000000,1.1700000,0.9800000,0.8800000,1,0.1440000,3.0000000,3.0000000,2.0000000,3.0000000,3.0000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
1,3019,C29,3018,930.0000000,1352.0000000,1033.0999756,1202,1129.1999512,1080.079999999999900,0.0575000,0.001403000000000,-0.000473000000000,0.000930000000000,14.3000002,40.9000015,94,91,126,85,-0.2082000,-0.1802000,-0.1742000,0.1378000,0.2486000,0.3505000,0.3377000,0.3368000,0.2500000,-0.0192000,-0.2124000,-0.1803000,0.0323000,0.4680000,0.3085000,-0.192982456000000,-0.220077220000000,-0.221757322000000,-0.115702479000000,0.053254438000000,0.439560440000000,0.345238095000000,0.096774194000000,-0.053763441000000,-0.220973783000000,-0.169398907000000,-0.163841808000000,-0.010869565000000,0.144827586000000,0.144578313000000,1.0800000,1.1000000,0.9600000,1,0.1410000,3.0000000,3.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
2,3020,C29,3019,902.0000000,1389.4000244,1073.6999512,1196,1140.3000488,1080.099999999999900,0.0906000,-0.004624000000000,0.004098000000000,-0.000527000000000,13.8999996,36.9000015,92,92,127,83,-0.2014000,-0.1802000,-0.1625000,0.1416000,0.2697000,0.3571000,0.4125000,0.3069000,0.2500000,-0.0099000,-0.2054000,-0.1903000,0.0550000,0.5026000,0.3438000,-0.189427313000000,-0.218390805000000,-0.217021277000000,-0.100000000000000,0.052631579000000,0.445652174000000,0.345238095000000,0.124324324000000,-0.057591623000000,-0.219330855000000,-0.170212766000000,-0.184357542000000,-0.016042781000000,0.140939597000000,0.111111111000000,1.0400000,1.1300000,1.0000000,1,0.1290000,3.0000000,3.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
3,3021,C29,3020,931.9000244,1348.0999756,1042.4000244,1120,1110.5999756,1080.130000000000100,0.1291000,-0.001335000000000,0.001011000000000,-0.000324000000000,14.1000004,37.0999985,96,89,127,84,-0.2041000,-0.1826000,-0.1500000,0.1217000,0.2849000,0.3776000,0.4750000,0.4020000,0.2270000,-0.0246000,-0.2054000,-0.1822000,0.0446000,0.4826000,0.3403000,-0.192982456000000,-0.221374046000000,-0.215189873000000,-0.128000000000000,0.052631579000000,0.425531915000000,0.345238095000000,0.104166667000000,-0.071428571000000,-0.236363636000000,-0.165775401000000,-0.169398907000000,0.005405405000000,0.120000000000000,0.135135135000000,1.0800000,1.1000000,0.9700000,1,0.0980000,2.0000000,3.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
4,3022,C29,3021,885.0000000,1301.1999512,978.4000244,1119,1070.8000488,1080.180000000000100,0.1515000,0.002538000000000,-0.001229000000000,0.001309000000000,14.8000002,36.0999985,96,89,130,85,-0.2081000,-0.1810000,-0.1553000,0.1121000,0.2737000,0.3604000,0.4717000,0.4257000,0.1976000,-0.0099000,-0.1964000,-0.1873000,0.0175000,0.4694000,0.3093000,-0.192982456000000,-0.218045113000000,-0.219917012000000,-0.128000000000000,0.017341040000000,0.387096774000000,0.321637427000000,0.094736842000000,-0.066666667000000,-0.226277372000000,-0.183246073000000,-0.169398907000000,-0.005291005000000,0.099337748000000,0.069767442000000,1.0200000,1.0599999,0.9100000,1,0.1240000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
5,3023,C29,3022,847.2000122,1260.3000488,997.7999878,1150,1063.9000244,1080.230000000000000,0.1427000,-0.001117000000000,0.000860000000000,-0.000257000000000,16.0000000,38.2999992,94,90,130,85,-0.2150000,-0.1933000,-0.1605000,0.1043000,0.2324000,0.3134000,0.4340000,0.3695000,0.2093000,-0.0152000,-0.2000000,-0.1822000,0.0308000,0.4154000,0.3128000,-0.194805195000000,-0.218045113000000,-0.214876033000000,-0.138339921000000,-0.005586592000000,0.372340426000000,0.271676301000000,0.091891892000000,-0.076923077000000,-0.219330855000000,-0.178947368000000,-0.160621762000000,-0.010638298000000,0.093333333000000,0.075144509000000,0.9800000,1.0300000,0.9300000,1,0.1360000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
6,3024,C29,3023,885.0000000,1176.5999756,969.0000000,1094,1031.0999756,1080.280000000000000,0.1591000,-0.002258000000000,0.002139000000000,-0.000119000000000,16.3999996,39.2999992,94,94,129,85,-0.1987000,-0.1724000,-0.1707000,0.0901000,0.2444000,0.3198000,0.4198000,0.3366000,0.2169000,-0.0800000,-0.2105000,-0.1984000,0.0407000,0.4632000,0.2887000,-0.208888889000000,-0.219696970000000,-0.226337449000000,-0.119047619000000,-0.010752688000000,0.387096774000000,0.290697674000000,0.073684211000000,-0.051546392000000,-0.236363636000000,-0.169398907000000,-0.180327869000000,-0.005464481000000,0.106666667000000,0.057471264000000,1.0200000,0.9600000,0.9000000,1,0.1200000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
7,3042,C29,3041,1062.0999756,1201.5000000,1146.0000000,1363,1193.0999756,1079.950000000000000,0.0618000,-0.003161000000000,0.000150000000000,-0.003011000000000,22.6000004,61.0000000,90,82,103,74,-0.1898000,-0.1814000,-0.1429000,0.1535000,0.3099000,0.3978000,0.5256000,0.3711000,0.2532000,-0.0256000,-0.1881000,-0.1790000,0.0235000,0.4742000,0.2698000,-0.192982456000000,-0.217054264000000,-0.210762332000000,-0.033175355000000,0.128834356000000,0.418994413000000,0.337349398000000,0.112359551000000,-0.040000000000000,-0.238095238000000,-0.170454545000000,-0.148648649000000,0.011764706000000,0.211267606000000,0.132075472000000,1.2300000,0.9800000,1.0700001,1,0.2150000,1.0000000,3.0000000,3.0000000,2.0000000,1.0000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000
8,3043,C29,3042,858.9000244,1266.0999756,1073.5999756,1317,1128.9000244,1079.990000000000000,0.1351000,-0.008512000000000,0.005821000000000,-0.002691000000000,17.3999996,50.5999985,90,81,111,78,-0.2028000,-0.1705000,-0.1410000,0.1607000,0.3029000,0.3750000,0.4581000,0.3918000,0.1707000,-0.0417000,-0.1946000,-0.1688000,0.0326000,0.4167000,0.3158000,-0.189427313000000,-0.218750000000000,-0.215517241000000,-0.048888889000000,0.083333333000000,0.453551913000000,0.361445783000000,0.131428571000000,-0.032608696000000,-0.227799228000000,-0.164835165000000,-0.139240506000000,0.045454545000000,0.177304965000000,0.125748503000000,0.9900000,1.0300000,1.0000000,1,0.2070000,2.0000000,3.0000000,3.0000000,2.0000000,2.0000000,3.000000000000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
9,3044,C29,3043,786.0000000,1492.8000488,1004.5000000,1229,1128.1999512,1080.079999999999900,0.1649000,0.001567000000000,-0.001382000000000,0.000184000000000,14.6000004,47.2000008,96,84,113,79,-0.2055000,-0.1770000,-0.1500000,0.1491000,0.3146000,0.3782000,0.4650000,0.3918000,0.2250000,-0.0547000,-0.2054000,-0.1784000,0.0561000,0.4343000,0.2864000,-0.192982456000000,-0.212355212000000,-0.215517241000000,-0.072961373000000,0.016759777000000,0.377777778000000,0.247058824000000,0.058823529000000,-0.037433155000000,-0.239852399000000,-0.155555556000000,-0.177777778000000,0.038674033000000,0.134751773000000,0.123456790000000,0.9100000,1.2100000,0.9400000,1,0.2050000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,3.000000000000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
